date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:58	124158/124158	---MCZ	200	added ('OK')	text/html	etag:%22pvvfi4mvch2nrz%22	https://yassir.com/about-us	C:/Users/moham/Desktop/test/yassir.com/about-us.html	(from https://yassir.com/en/about-us)
00:31:59	20000/20000	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224e20-19885077438%22	https://yassir.com/images/common/years.svg	C:/Users/moham/Desktop/test/yassir.com/images/common/years.svg	(from https://yassir.com/en/about-us)
00:32:00	118434/118434	---MCZ	200	added ('OK')	text/html	etag:%22u7zznb4vrq2izc%22	https://yassir.com/en/news/the-paris-saint-germain-and-yassir-have-signed-a-global-partnership	C:/Users/moham/Desktop/test/yassir.com/en/news/the-paris-saint-germain-and-yassir-have-signed-a-global-partnership.html	(from https://yassir.com/hub)
00:32:01	116707/116707	---MCZ	200	added ('OK')	text/html	etag:%223hij4e5psg2hn9%22	https://yassir.com/en/news/yassir-raises-150-million-in-series-b-funding-from-global-investors-for-on-demand-services-marketplace	C:/Users/moham/Desktop/test/yassir.com/en/news/yassir-raises-150-million-in-series-b-funding-from-global-investors-for-on-demand-services-marketplace.html	(from https://yassir.com/hub)
00:32:02	114449/114449	---MCZ	200	added ('OK')	text/html	etag:%22nlb6scfxx02fwp%22	https://yassir.com/en/news/discover-yassir-s-strategic-move-into-africa-opening-its-first-office-in-dakar-senegal	C:/Users/moham/Desktop/test/yassir.com/en/news/discover-yassir-s-strategic-move-into-africa-opening-its-first-office-in-dakar-senegal.html	(from https://yassir.com/hub)
00:32:02	103971/103971	---MCZ	200	added ('OK')	text/html	etag:%22ymion0g2gu287a%22	https://yassir.com/en/news	C:/Users/moham/Desktop/test/yassir.com/en/news.html	(from https://yassir.com/hub)
00:32:03	167692/167692	---M--	200	added ('OK')	image/jpeg	etag:I8ygz-lC096kHvRqhH1-c9Ps82CyhSCF+iKRZJeXjTs=	https://yassir.com/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fcms-strapi-bucket-stg%2FYassir_Senegal_ba01056b23%2FYassir_Senegal_ba01056b23.jpeg&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/Yassir_Senegal_ba01056b23a965.jpeg	(from https://yassir.com/hub)
00:32:04	197294/197294	---MCZ	200	added ('OK')	text/html	etag:%22x00zot2r1747xy%22	https://yassir.com/en/blog	C:/Users/moham/Desktop/test/yassir.com/en/blog.html	(from https://yassir.com/hub)
00:32:05	238175/238175	---MCZ	200	added ('OK')	text/html	etag:%2211vuiqxea1k53ay%22	https://yassir.com/en/blog/how-we-achieved-a-93-success-rate-in-digital-payments-and-what-it-means-for-the-rest-of-africa	C:/Users/moham/Desktop/test/yassir.com/en/blog/how-we-achieved-a-93-success-rate-in-digital-payments-and-what-it-means-for-the-rest-of-africa.html	(from https://yassir.com/hub)
00:32:06	167919/167919	---M--	200	added ('OK')	image/jpeg	etag:+Q5InjIFSmNgDoSAeXNBKZW2Jn4IcsapH3iOhNLQRus=	https://yassir.com/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fcms-strapi-bucket-stg%2F93_success_rate_in_digital_payment_7576201d82%2F93_success_rate_in_digital_payment_7576201d82.webp&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/93_success_rate_in_digital_payment_7576201d8215dd.jpeg	(from https://yassir.com/hub)
